"@timestamp","_id","_index","_score","agent.ephemeral_id","agent.hostname","agent.id","agent.name","agent.type","agent.version","ecs.version","event.category","event.created","event.dataset","event.ingested","event.kind","event.module","event.original","event.outcome","fileset.name","host.architecture","host.containerized","host.hostname","host.id","host.ip","host.mac","host.name","host.os.codename","host.os.family","host.os.kernel","host.os.name","host.os.name.text","host.os.platform","host.os.type","host.os.version","http.request.method","http.request.referrer","http.response.body.bytes","http.response.status_code","http.version","input.type","log.file.path","log.offset","service.type","source.address","source.as.number","source.as.organization.name","source.as.organization.name.text","source.geo.city_name","source.geo.continent_name","source.geo.country_iso_code","source.geo.country_name","source.geo.location","source.geo.region_iso_code","source.geo.region_name","source.ip","traefik.access.geoip.city_name","traefik.access.geoip.continent_name","traefik.access.geoip.country_iso_code","traefik.access.geoip.location","traefik.access.geoip.region_iso_code","traefik.access.geoip.region_name","traefik.access.user_agent.name","traefik.access.user_agent.original","traefik.access.user_agent.os_name","url.extension","url.original","url.original.text","url.path","url.query","user.name","user.name.text","user_agent.device.name","user_agent.name","user_agent.original","user_agent.original.text","user_agent.os.name","user_agent.os.name.text","user_agent.version"
"Oct 24, 2022 @ 23:25:43.000","UNeZCoQBDsc6tFfSkwY-",".ds-filebeat-8.4.3-2022.10.24-000001","-","71df9d48-1d5b-48bc-9d0b-4c069d92c8ca","dvwa_web","8d42cf34-4f58-4413-b965-cf6afa6eb26b","dvwa_web",filebeat,"8.4.3","1.12.0",web,"Oct 24, 2022 @ 23:25:46.881","apache.access","Oct 24, 2022 @ 23:25:47.703",event,apache,"123.123.123.2 - - [24/Oct/2022:23:25:43 +0800] ""GET /index.php HTTP/1.1"" 200 2908 ""-"" ""Mozilla/5.0 (X11; Ubuntu; Linux x86_64; rv:105.0) Gecko/20100101 Firefox/105.0""",success,access,"x86_64",false,"dvwa_web",bc7bc6b9453f4089b9bfee6b38b5fc6f,"123.123.123.123, 10.10.10.10","02:42:0a:0a:0a:0a, 02:42:7b:7b:7b:7b","dvwa_web",bullseye,debian,"5.15.0-52-generic","Debian GNU/Linux","Debian GNU/Linux",debian,linux,"11 (bullseye)",GET,"-","2,908",200,"1.1",log,"/var/log/apache2/access.log","56,243",apache,"123.123.123.2","4,808","China Unicom Beijing Province Network","China Unicom Beijing Province Network",Beijing,Asia,CN,China,"POINT (116.3861 39.9143)","CN-BJ",Beijing,"123.123.123.2",Beijing,Asia,CN,"POINT (116.3861 39.9143)","CN-BJ",Beijing,Firefox,"Mozilla/5.0 (X11; Ubuntu; Linux x86_64; rv:105.0) Gecko/20100101 Firefox/105.0",Ubuntu,php,"/index.php","/index.php","/index.php","-","-","-",Other,Firefox,"Mozilla/5.0 (X11; Ubuntu; Linux x86_64; rv:105.0) Gecko/20100101 Firefox/105.0","Mozilla/5.0 (X11; Ubuntu; Linux x86_64; rv:105.0) Gecko/20100101 Firefox/105.0",Ubuntu,Ubuntu,"105.0."
"Oct 24, 2022 @ 23:25:43.000","UdeZCoQBDsc6tFfSkwY-",".ds-filebeat-8.4.3-2022.10.24-000001","-","71df9d48-1d5b-48bc-9d0b-4c069d92c8ca","dvwa_web","8d42cf34-4f58-4413-b965-cf6afa6eb26b","dvwa_web",filebeat,"8.4.3","1.12.0",web,"Oct 24, 2022 @ 23:25:46.881","apache.access","Oct 24, 2022 @ 23:25:47.703",event,apache,"123.123.123.2 - - [24/Oct/2022:23:25:43 +0800] ""GET /phpinfo.php HTTP/1.1"" 200 23114 ""-"" ""Mozilla/5.0 (X11; Ubuntu; Linux x86_64; rv:105.0) Gecko/20100101 Firefox/105.0""",success,access,"x86_64",false,"dvwa_web",bc7bc6b9453f4089b9bfee6b38b5fc6f,"123.123.123.123, 10.10.10.10","02:42:0a:0a:0a:0a, 02:42:7b:7b:7b:7b","dvwa_web",bullseye,debian,"5.15.0-52-generic","Debian GNU/Linux","Debian GNU/Linux",debian,linux,"11 (bullseye)",GET,"-","23,114",200,"1.1",log,"/var/log/apache2/access.log","56,410",apache,"123.123.123.2","4,808","China Unicom Beijing Province Network","China Unicom Beijing Province Network",Beijing,Asia,CN,China,"POINT (116.3861 39.9143)","CN-BJ",Beijing,"123.123.123.2",Beijing,Asia,CN,"POINT (116.3861 39.9143)","CN-BJ",Beijing,Firefox,"Mozilla/5.0 (X11; Ubuntu; Linux x86_64; rv:105.0) Gecko/20100101 Firefox/105.0",Ubuntu,php,"/phpinfo.php","/phpinfo.php","/phpinfo.php","-","-","-",Other,Firefox,"Mozilla/5.0 (X11; Ubuntu; Linux x86_64; rv:105.0) Gecko/20100101 Firefox/105.0","Mozilla/5.0 (X11; Ubuntu; Linux x86_64; rv:105.0) Gecko/20100101 Firefox/105.0",Ubuntu,Ubuntu,"105.0."
"Oct 24, 2022 @ 23:25:43.000","UteZCoQBDsc6tFfSkwY-",".ds-filebeat-8.4.3-2022.10.24-000001","-","71df9d48-1d5b-48bc-9d0b-4c069d92c8ca","dvwa_web","8d42cf34-4f58-4413-b965-cf6afa6eb26b","dvwa_web",filebeat,"8.4.3","1.12.0",web,"Oct 24, 2022 @ 23:25:46.882","apache.access","Oct 24, 2022 @ 23:25:47.704",event,apache,"123.123.123.2 - - [24/Oct/2022:23:25:43 +0800] ""GET /vulnerabilities/xss_s/ HTTP/1.1"" 200 1962 ""-"" ""Mozilla/5.0 (X11; Ubuntu; Linux x86_64; rv:105.0) Gecko/20100101 Firefox/105.0""",success,access,"x86_64",false,"dvwa_web",bc7bc6b9453f4089b9bfee6b38b5fc6f,"123.123.123.123, 10.10.10.10","02:42:0a:0a:0a:0a, 02:42:7b:7b:7b:7b","dvwa_web",bullseye,debian,"5.15.0-52-generic","Debian GNU/Linux","Debian GNU/Linux",debian,linux,"11 (bullseye)",GET,"-","1,962",200,"1.1",log,"/var/log/apache2/access.log","56,580",apache,"123.123.123.2","4,808","China Unicom Beijing Province Network","China Unicom Beijing Province Network",Beijing,Asia,CN,China,"POINT (116.3861 39.9143)","CN-BJ",Beijing,"123.123.123.2",Beijing,Asia,CN,"POINT (116.3861 39.9143)","CN-BJ",Beijing,Firefox,"Mozilla/5.0 (X11; Ubuntu; Linux x86_64; rv:105.0) Gecko/20100101 Firefox/105.0",Ubuntu,"-","/vulnerabilities/xss_s/","/vulnerabilities/xss_s/","/vulnerabilities/xss_s/","-","-","-",Other,Firefox,"Mozilla/5.0 (X11; Ubuntu; Linux x86_64; rv:105.0) Gecko/20100101 Firefox/105.0","Mozilla/5.0 (X11; Ubuntu; Linux x86_64; rv:105.0) Gecko/20100101 Firefox/105.0",Ubuntu,Ubuntu,"105.0."
"Oct 24, 2022 @ 23:25:43.000","U9eZCoQBDsc6tFfSkwY-",".ds-filebeat-8.4.3-2022.10.24-000001","-","71df9d48-1d5b-48bc-9d0b-4c069d92c8ca","dvwa_web","8d42cf34-4f58-4413-b965-cf6afa6eb26b","dvwa_web",filebeat,"8.4.3","1.12.0",web,"Oct 24, 2022 @ 23:25:46.882","apache.access","Oct 24, 2022 @ 23:25:47.704",event,apache,"123.123.123.2 - - [24/Oct/2022:23:25:43 +0800] ""GET /vulnerabilities/sqli_blind/ HTTP/1.1"" 200 1698 ""-"" ""Mozilla/5.0 (X11; Ubuntu; Linux x86_64; rv:105.0) Gecko/20100101 Firefox/105.0""",success,access,"x86_64",false,"dvwa_web",bc7bc6b9453f4089b9bfee6b38b5fc6f,"123.123.123.123, 10.10.10.10","02:42:0a:0a:0a:0a, 02:42:7b:7b:7b:7b","dvwa_web",bullseye,debian,"5.15.0-52-generic","Debian GNU/Linux","Debian GNU/Linux",debian,linux,"11 (bullseye)",GET,"-","1,698",200,"1.1",log,"/var/log/apache2/access.log","56,760",apache,"123.123.123.2","4,808","China Unicom Beijing Province Network","China Unicom Beijing Province Network",Beijing,Asia,CN,China,"POINT (116.3861 39.9143)","CN-BJ",Beijing,"123.123.123.2",Beijing,Asia,CN,"POINT (116.3861 39.9143)","CN-BJ",Beijing,Firefox,"Mozilla/5.0 (X11; Ubuntu; Linux x86_64; rv:105.0) Gecko/20100101 Firefox/105.0",Ubuntu,"-","/vulnerabilities/sqli_blind/","/vulnerabilities/sqli_blind/","/vulnerabilities/sqli_blind/","-","-","-",Other,Firefox,"Mozilla/5.0 (X11; Ubuntu; Linux x86_64; rv:105.0) Gecko/20100101 Firefox/105.0","Mozilla/5.0 (X11; Ubuntu; Linux x86_64; rv:105.0) Gecko/20100101 Firefox/105.0",Ubuntu,Ubuntu,"105.0."
"Oct 24, 2022 @ 23:25:43.000","VNeZCoQBDsc6tFfSkwY-",".ds-filebeat-8.4.3-2022.10.24-000001","-","71df9d48-1d5b-48bc-9d0b-4c069d92c8ca","dvwa_web","8d42cf34-4f58-4413-b965-cf6afa6eb26b","dvwa_web",filebeat,"8.4.3","1.12.0",web,"Oct 24, 2022 @ 23:25:46.882","apache.access","Oct 24, 2022 @ 23:25:47.704",event,apache,"123.123.123.2 - - [24/Oct/2022:23:25:43 +0800] ""GET /logout.php HTTP/1.1"" 302 363 ""-"" ""Mozilla/5.0 (X11; Ubuntu; Linux x86_64; rv:105.0) Gecko/20100101 Firefox/105.0""",success,access,"x86_64",false,"dvwa_web",bc7bc6b9453f4089b9bfee6b38b5fc6f,"123.123.123.123, 10.10.10.10","02:42:0a:0a:0a:0a, 02:42:7b:7b:7b:7b","dvwa_web",bullseye,debian,"5.15.0-52-generic","Debian GNU/Linux","Debian GNU/Linux",debian,linux,"11 (bullseye)",GET,"-",363,302,"1.1",log,"/var/log/apache2/access.log","56,945",apache,"123.123.123.2","4,808","China Unicom Beijing Province Network","China Unicom Beijing Province Network",Beijing,Asia,CN,China,"POINT (116.3861 39.9143)","CN-BJ",Beijing,"123.123.123.2",Beijing,Asia,CN,"POINT (116.3861 39.9143)","CN-BJ",Beijing,Firefox,"Mozilla/5.0 (X11; Ubuntu; Linux x86_64; rv:105.0) Gecko/20100101 Firefox/105.0",Ubuntu,php,"/logout.php","/logout.php","/logout.php","-","-","-",Other,Firefox,"Mozilla/5.0 (X11; Ubuntu; Linux x86_64; rv:105.0) Gecko/20100101 Firefox/105.0","Mozilla/5.0 (X11; Ubuntu; Linux x86_64; rv:105.0) Gecko/20100101 Firefox/105.0",Ubuntu,Ubuntu,"105.0."
"Oct 24, 2022 @ 23:25:43.000","VdeZCoQBDsc6tFfSkwY-",".ds-filebeat-8.4.3-2022.10.24-000001","-","71df9d48-1d5b-48bc-9d0b-4c069d92c8ca","dvwa_web","8d42cf34-4f58-4413-b965-cf6afa6eb26b","dvwa_web",filebeat,"8.4.3","1.12.0",web,"Oct 24, 2022 @ 23:25:46.882","apache.access","Oct 24, 2022 @ 23:25:47.704",event,apache,"123.123.123.2 - - [24/Oct/2022:23:25:43 +0800] ""GET /login.php HTTP/1.1"" 200 1041 ""-"" ""Mozilla/5.0 (X11; Ubuntu; Linux x86_64; rv:105.0) Gecko/20100101 Firefox/105.0""",success,access,"x86_64",false,"dvwa_web",bc7bc6b9453f4089b9bfee6b38b5fc6f,"123.123.123.123, 10.10.10.10","02:42:0a:0a:0a:0a, 02:42:7b:7b:7b:7b","dvwa_web",bullseye,debian,"5.15.0-52-generic","Debian GNU/Linux","Debian GNU/Linux",debian,linux,"11 (bullseye)",GET,"-","1,041",200,"1.1",log,"/var/log/apache2/access.log","57,112",apache,"123.123.123.2","4,808","China Unicom Beijing Province Network","China Unicom Beijing Province Network",Beijing,Asia,CN,China,"POINT (116.3861 39.9143)","CN-BJ",Beijing,"123.123.123.2",Beijing,Asia,CN,"POINT (116.3861 39.9143)","CN-BJ",Beijing,Firefox,"Mozilla/5.0 (X11; Ubuntu; Linux x86_64; rv:105.0) Gecko/20100101 Firefox/105.0",Ubuntu,php,"/login.php","/login.php","/login.php","-","-","-",Other,Firefox,"Mozilla/5.0 (X11; Ubuntu; Linux x86_64; rv:105.0) Gecko/20100101 Firefox/105.0","Mozilla/5.0 (X11; Ubuntu; Linux x86_64; rv:105.0) Gecko/20100101 Firefox/105.0",Ubuntu,Ubuntu,"105.0."
"Oct 24, 2022 @ 23:25:37.000",fNeZCoQBDsc6tFfSeAOZ,".ds-filebeat-8.4.3-2022.10.24-000001","-","71df9d48-1d5b-48bc-9d0b-4c069d92c8ca","dvwa_web","8d42cf34-4f58-4413-b965-cf6afa6eb26b","dvwa_web",filebeat,"8.4.3","1.12.0",web,"Oct 24, 2022 @ 23:25:39.878","apache.access","Oct 24, 2022 @ 23:25:40.885",event,apache,"127.0.0.1 - - [24/Oct/2022:23:25:37 +0800] ""GET /server-status?auto= HTTP/1.1"" 200 608 ""-"" ""Elastic-Metricbeat/8.4.3 (linux; amd64; c2f2aba479653563dbaabefe0f86f5579708ec94; 2022-09-27 15:34:12 +0000 UTC)""",success,access,"x86_64",false,"dvwa_web",bc7bc6b9453f4089b9bfee6b38b5fc6f,"123.123.123.123, 10.10.10.10","02:42:0a:0a:0a:0a, 02:42:7b:7b:7b:7b","dvwa_web",bullseye,debian,"5.15.0-52-generic","Debian GNU/Linux","Debian GNU/Linux",debian,linux,"11 (bullseye)",GET,"-",608,200,"1.1",log,"/var/log/apache2/access.log","55,703",apache,"127.0.0.1","-","-","-","-","-","-","-","-","-","-","127.0.0.1","-","-","-","-","-","-",Other,"Elastic-Metricbeat/8.4.3 (linux; amd64; c2f2aba479653563dbaabefe0f86f5579708ec94; 2022-09-27 15:34:12 +0000 UTC)",Linux,"-","/server-status?auto=","/server-status?auto=","/server-status","auto=","-","-",Other,Other,"Elastic-Metricbeat/8.4.3 (linux; amd64; c2f2aba479653563dbaabefe0f86f5579708ec94; 2022-09-27 15:34:12 +0000 UTC)","Elastic-Metricbeat/8.4.3 (linux; amd64; c2f2aba479653563dbaabefe0f86f5579708ec94; 2022-09-27 15:34:12 +0000 UTC)",Linux,Linux,"-"
"Oct 24, 2022 @ 23:25:27.000",UdeZCoQBDsc6tFfSXQM2,".ds-filebeat-8.4.3-2022.10.24-000001","-","71df9d48-1d5b-48bc-9d0b-4c069d92c8ca","dvwa_web","8d42cf34-4f58-4413-b965-cf6afa6eb26b","dvwa_web",filebeat,"8.4.3","1.12.0",web,"Oct 24, 2022 @ 23:25:32.876","apache.access","Oct 24, 2022 @ 23:25:33.878",event,apache,"127.0.0.1 - - [24/Oct/2022:23:25:27 +0800] ""GET /server-status?auto= HTTP/1.1"" 200 609 ""-"" ""Elastic-Metricbeat/8.4.3 (linux; amd64; c2f2aba479653563dbaabefe0f86f5579708ec94; 2022-09-27 15:34:12 +0000 UTC)""",success,access,"x86_64",false,"dvwa_web",bc7bc6b9453f4089b9bfee6b38b5fc6f,"123.123.123.123, 10.10.10.10","02:42:0a:0a:0a:0a, 02:42:7b:7b:7b:7b","dvwa_web",bullseye,debian,"5.15.0-52-generic","Debian GNU/Linux","Debian GNU/Linux",debian,linux,"11 (bullseye)",GET,"-",609,200,"1.1",log,"/var/log/apache2/access.log","55,497",apache,"127.0.0.1","-","-","-","-","-","-","-","-","-","-","127.0.0.1","-","-","-","-","-","-",Other,"Elastic-Metricbeat/8.4.3 (linux; amd64; c2f2aba479653563dbaabefe0f86f5579708ec94; 2022-09-27 15:34:12 +0000 UTC)",Linux,"-","/server-status?auto=","/server-status?auto=","/server-status","auto=","-","-",Other,Other,"Elastic-Metricbeat/8.4.3 (linux; amd64; c2f2aba479653563dbaabefe0f86f5579708ec94; 2022-09-27 15:34:12 +0000 UTC)","Elastic-Metricbeat/8.4.3 (linux; amd64; c2f2aba479653563dbaabefe0f86f5579708ec94; 2022-09-27 15:34:12 +0000 UTC)",Linux,Linux,"-"
"Oct 24, 2022 @ 23:25:17.000",UdeZCoQBDsc6tFfSIQDD,".ds-filebeat-8.4.3-2022.10.24-000001","-","71df9d48-1d5b-48bc-9d0b-4c069d92c8ca","dvwa_web","8d42cf34-4f58-4413-b965-cf6afa6eb26b","dvwa_web",filebeat,"8.4.3","1.12.0",web,"Oct 24, 2022 @ 23:25:17.872","apache.access","Oct 24, 2022 @ 23:25:18.654",event,apache,"123.123.123.3 - - [24/Oct/2022:23:25:17 +0800] ""GET /login.php HTTP/1.1"" 200 1181 ""-"" ""Mozilla/5.0 (X11; Ubuntu; Linux x86_64; rv:105.0) Gecko/20100101 Firefox/105.0""",success,access,"x86_64",false,"dvwa_web",bc7bc6b9453f4089b9bfee6b38b5fc6f,"123.123.123.123, 10.10.10.10","02:42:0a:0a:0a:0a, 02:42:7b:7b:7b:7b","dvwa_web",bullseye,debian,"5.15.0-52-generic","Debian GNU/Linux","Debian GNU/Linux",debian,linux,"11 (bullseye)",GET,"-","1,181",200,"1.1",log,"/var/log/apache2/access.log","53,895",apache,"123.123.123.3","4,808","China Unicom Beijing Province Network","China Unicom Beijing Province Network",Beijing,Asia,CN,China,"POINT (116.3861 39.9143)","CN-BJ",Beijing,"123.123.123.3",Beijing,Asia,CN,"POINT (116.3861 39.9143)","CN-BJ",Beijing,Firefox,"Mozilla/5.0 (X11; Ubuntu; Linux x86_64; rv:105.0) Gecko/20100101 Firefox/105.0",Ubuntu,php,"/login.php","/login.php","/login.php","-","-","-",Other,Firefox,"Mozilla/5.0 (X11; Ubuntu; Linux x86_64; rv:105.0) Gecko/20100101 Firefox/105.0","Mozilla/5.0 (X11; Ubuntu; Linux x86_64; rv:105.0) Gecko/20100101 Firefox/105.0",Ubuntu,Ubuntu,"105.0."
"Oct 24, 2022 @ 23:25:17.000",UteZCoQBDsc6tFfSIQDD,".ds-filebeat-8.4.3-2022.10.24-000001","-","71df9d48-1d5b-48bc-9d0b-4c069d92c8ca","dvwa_web","8d42cf34-4f58-4413-b965-cf6afa6eb26b","dvwa_web",filebeat,"8.4.3","1.12.0",web,"Oct 24, 2022 @ 23:25:17.873","apache.access","Oct 24, 2022 @ 23:25:18.655",event,apache,"123.123.123.3 - - [24/Oct/2022:23:25:17 +0800] ""POST /login.php HTTP/1.1"" 302 363 ""-"" ""Mozilla/5.0 (X11; Ubuntu; Linux x86_64; rv:105.0) Gecko/20100101 Firefox/105.0""",success,access,"x86_64",false,"dvwa_web",bc7bc6b9453f4089b9bfee6b38b5fc6f,"123.123.123.123, 10.10.10.10","02:42:0a:0a:0a:0a, 02:42:7b:7b:7b:7b","dvwa_web",bullseye,debian,"5.15.0-52-generic","Debian GNU/Linux","Debian GNU/Linux",debian,linux,"11 (bullseye)",POST,"-",363,302,"1.1",log,"/var/log/apache2/access.log","54,062",apache,"123.123.123.3","4,808","China Unicom Beijing Province Network","China Unicom Beijing Province Network",Beijing,Asia,CN,China,"POINT (116.3861 39.9143)","CN-BJ",Beijing,"123.123.123.3",Beijing,Asia,CN,"POINT (116.3861 39.9143)","CN-BJ",Beijing,Firefox,"Mozilla/5.0 (X11; Ubuntu; Linux x86_64; rv:105.0) Gecko/20100101 Firefox/105.0",Ubuntu,php,"/login.php","/login.php","/login.php","-","-","-",Other,Firefox,"Mozilla/5.0 (X11; Ubuntu; Linux x86_64; rv:105.0) Gecko/20100101 Firefox/105.0","Mozilla/5.0 (X11; Ubuntu; Linux x86_64; rv:105.0) Gecko/20100101 Firefox/105.0",Ubuntu,Ubuntu,"105.0."
"Oct 24, 2022 @ 23:25:17.000",U9eZCoQBDsc6tFfSIQDD,".ds-filebeat-8.4.3-2022.10.24-000001","-","71df9d48-1d5b-48bc-9d0b-4c069d92c8ca","dvwa_web","8d42cf34-4f58-4413-b965-cf6afa6eb26b","dvwa_web",filebeat,"8.4.3","1.12.0",web,"Oct 24, 2022 @ 23:25:17.873","apache.access","Oct 24, 2022 @ 23:25:18.655",event,apache,"123.123.123.3 - - [24/Oct/2022:23:25:17 +0800] ""GET /index.php HTTP/1.1"" 200 2908 ""-"" ""Mozilla/5.0 (X11; Ubuntu; Linux x86_64; rv:105.0) Gecko/20100101 Firefox/105.0""",success,access,"x86_64",false,"dvwa_web",bc7bc6b9453f4089b9bfee6b38b5fc6f,"123.123.123.123, 10.10.10.10","02:42:0a:0a:0a:0a, 02:42:7b:7b:7b:7b","dvwa_web",bullseye,debian,"5.15.0-52-generic","Debian GNU/Linux","Debian GNU/Linux",debian,linux,"11 (bullseye)",GET,"-","2,908",200,"1.1",log,"/var/log/apache2/access.log","54,229",apache,"123.123.123.3","4,808","China Unicom Beijing Province Network","China Unicom Beijing Province Network",Beijing,Asia,CN,China,"POINT (116.3861 39.9143)","CN-BJ",Beijing,"123.123.123.3",Beijing,Asia,CN,"POINT (116.3861 39.9143)","CN-BJ",Beijing,Firefox,"Mozilla/5.0 (X11; Ubuntu; Linux x86_64; rv:105.0) Gecko/20100101 Firefox/105.0",Ubuntu,php,"/index.php","/index.php","/index.php","-","-","-",Other,Firefox,"Mozilla/5.0 (X11; Ubuntu; Linux x86_64; rv:105.0) Gecko/20100101 Firefox/105.0","Mozilla/5.0 (X11; Ubuntu; Linux x86_64; rv:105.0) Gecko/20100101 Firefox/105.0",Ubuntu,Ubuntu,"105.0."
"Oct 24, 2022 @ 23:25:17.000",VNeZCoQBDsc6tFfSIQDD,".ds-filebeat-8.4.3-2022.10.24-000001","-","71df9d48-1d5b-48bc-9d0b-4c069d92c8ca","dvwa_web","8d42cf34-4f58-4413-b965-cf6afa6eb26b","dvwa_web",filebeat,"8.4.3","1.12.0",web,"Oct 24, 2022 @ 23:25:17.873","apache.access","Oct 24, 2022 @ 23:25:18.655",event,apache,"123.123.123.3 - - [24/Oct/2022:23:25:17 +0800] ""GET /vulnerabilities/brute/vulnerabilities/csrf/ HTTP/1.1"" 404 487 ""-"" ""Mozilla/5.0 (X11; Ubuntu; Linux x86_64; rv:105.0) Gecko/20100101 Firefox/105.0""",failure,access,"x86_64",false,"dvwa_web",bc7bc6b9453f4089b9bfee6b38b5fc6f,"123.123.123.123, 10.10.10.10","02:42:0a:0a:0a:0a, 02:42:7b:7b:7b:7b","dvwa_web",bullseye,debian,"5.15.0-52-generic","Debian GNU/Linux","Debian GNU/Linux",debian,linux,"11 (bullseye)",GET,"-",487,404,"1.1",log,"/var/log/apache2/access.log","54,396",apache,"123.123.123.3","4,808","China Unicom Beijing Province Network","China Unicom Beijing Province Network",Beijing,Asia,CN,China,"POINT (116.3861 39.9143)","CN-BJ",Beijing,"123.123.123.3",Beijing,Asia,CN,"POINT (116.3861 39.9143)","CN-BJ",Beijing,Firefox,"Mozilla/5.0 (X11; Ubuntu; Linux x86_64; rv:105.0) Gecko/20100101 Firefox/105.0",Ubuntu,"-","/vulnerabilities/brute/vulnerabilities/csrf/","/vulnerabilities/brute/vulnerabilities/csrf/","/vulnerabilities/brute/vulnerabilities/csrf/","-","-","-",Other,Firefox,"Mozilla/5.0 (X11; Ubuntu; Linux x86_64; rv:105.0) Gecko/20100101 Firefox/105.0","Mozilla/5.0 (X11; Ubuntu; Linux x86_64; rv:105.0) Gecko/20100101 Firefox/105.0",Ubuntu,Ubuntu,"105.0."
"Oct 24, 2022 @ 23:25:17.000",VdeZCoQBDsc6tFfSIQDD,".ds-filebeat-8.4.3-2022.10.24-000001","-","71df9d48-1d5b-48bc-9d0b-4c069d92c8ca","dvwa_web","8d42cf34-4f58-4413-b965-cf6afa6eb26b","dvwa_web",filebeat,"8.4.3","1.12.0",web,"Oct 24, 2022 @ 23:25:17.873","apache.access","Oct 24, 2022 @ 23:25:18.655",event,apache,"123.123.123.3 - - [24/Oct/2022:23:25:17 +0800] ""GET /vulnerabilities/sqli/ HTTP/1.1"" 200 1691 ""-"" ""Mozilla/5.0 (X11; Ubuntu; Linux x86_64; rv:105.0) Gecko/20100101 Firefox/105.0""",success,access,"x86_64",false,"dvwa_web",bc7bc6b9453f4089b9bfee6b38b5fc6f,"123.123.123.123, 10.10.10.10","02:42:0a:0a:0a:0a, 02:42:7b:7b:7b:7b","dvwa_web",bullseye,debian,"5.15.0-52-generic","Debian GNU/Linux","Debian GNU/Linux",debian,linux,"11 (bullseye)",GET,"-","1,691",200,"1.1",log,"/var/log/apache2/access.log","54,596",apache,"123.123.123.3","4,808","China Unicom Beijing Province Network","China Unicom Beijing Province Network",Beijing,Asia,CN,China,"POINT (116.3861 39.9143)","CN-BJ",Beijing,"123.123.123.3",Beijing,Asia,CN,"POINT (116.3861 39.9143)","CN-BJ",Beijing,Firefox,"Mozilla/5.0 (X11; Ubuntu; Linux x86_64; rv:105.0) Gecko/20100101 Firefox/105.0",Ubuntu,"-","/vulnerabilities/sqli/","/vulnerabilities/sqli/","/vulnerabilities/sqli/","-","-","-",Other,Firefox,"Mozilla/5.0 (X11; Ubuntu; Linux x86_64; rv:105.0) Gecko/20100101 Firefox/105.0","Mozilla/5.0 (X11; Ubuntu; Linux x86_64; rv:105.0) Gecko/20100101 Firefox/105.0",Ubuntu,Ubuntu,"105.0."
"Oct 24, 2022 @ 23:25:17.000",VteZCoQBDsc6tFfSIQDD,".ds-filebeat-8.4.3-2022.10.24-000001","-","71df9d48-1d5b-48bc-9d0b-4c069d92c8ca","dvwa_web","8d42cf34-4f58-4413-b965-cf6afa6eb26b","dvwa_web",filebeat,"8.4.3","1.12.0",web,"Oct 24, 2022 @ 23:25:17.873","apache.access","Oct 24, 2022 @ 23:25:18.656",event,apache,"123.123.123.3 - - [24/Oct/2022:23:25:17 +0800] ""GET /vulnerabilities/weak_id/ HTTP/1.1"" 200 1515 ""-"" ""Mozilla/5.0 (X11; Ubuntu; Linux x86_64; rv:105.0) Gecko/20100101 Firefox/105.0""",success,access,"x86_64",false,"dvwa_web",bc7bc6b9453f4089b9bfee6b38b5fc6f,"123.123.123.123, 10.10.10.10","02:42:0a:0a:0a:0a, 02:42:7b:7b:7b:7b","dvwa_web",bullseye,debian,"5.15.0-52-generic","Debian GNU/Linux","Debian GNU/Linux",debian,linux,"11 (bullseye)",GET,"-","1,515",200,"1.1",log,"/var/log/apache2/access.log","54,775",apache,"123.123.123.3","4,808","China Unicom Beijing Province Network","China Unicom Beijing Province Network",Beijing,Asia,CN,China,"POINT (116.3861 39.9143)","CN-BJ",Beijing,"123.123.123.3",Beijing,Asia,CN,"POINT (116.3861 39.9143)","CN-BJ",Beijing,Firefox,"Mozilla/5.0 (X11; Ubuntu; Linux x86_64; rv:105.0) Gecko/20100101 Firefox/105.0",Ubuntu,"-","/vulnerabilities/weak_id/","/vulnerabilities/weak_id/","/vulnerabilities/weak_id/","-","-","-",Other,Firefox,"Mozilla/5.0 (X11; Ubuntu; Linux x86_64; rv:105.0) Gecko/20100101 Firefox/105.0","Mozilla/5.0 (X11; Ubuntu; Linux x86_64; rv:105.0) Gecko/20100101 Firefox/105.0",Ubuntu,Ubuntu,"105.0."
